cohort,method,horizon,hours,rmse,persistence_rmse,relative_rmse
respiratory,hgb_residual,4.0,16.0,0.9023397564888,1.0732355117797852,0.8407658399156188
respiratory,hgb_residual,5.0,20.0,0.9541398286819458,1.0946810245513916,0.871614476986992
respiratory,hgb_residual,6.0,24.0,0.9829962253570556,1.10100257396698,0.8928191891643448
respiratory,hgb_residual,7.0,28.0,1.0274280309677124,1.141489028930664,0.9000770090013016
respiratory,hgb_residual,8.0,32.0,1.033600091934204,1.1437997817993164,0.903654737814553
respiratory,hgb_residual,9.0,36.0,1.06113862991333,1.154191493988037,0.9193783141191028
respiratory,hgb_residual,10.0,40.0,1.066908597946167,1.15397310256958,0.9245523969063538
respiratory,matched_gaussian_ensemble,1.0,4.0,0.7516078948974609,0.9526532292366028,0.7889627325356918
respiratory,matched_gaussian_ensemble,2.0,8.0,0.9722854495048524,1.0086735486984253,0.9639248008034637
respiratory,matched_gaussian_ensemble,3.0,12.0,1.187824845314026,1.061729073524475,1.1187645463743103
respiratory,matched_gaussian_ensemble,4.0,16.0,1.281693696975708,1.0732355117797852,1.1942334025550732
respiratory,matched_gaussian_ensemble,5.0,20.0,1.3361448049545288,1.0946810245513916,1.2205791230391436
respiratory,matched_gaussian_ensemble,6.0,24.0,1.35001540184021,1.10100257396698,1.2261691605097902
respiratory,matched_gaussian_ensemble,7.0,28.0,1.3761476278305054,1.141489028930664,1.2055723646504664
respiratory,matched_gaussian_ensemble,8.0,32.0,1.3570975065231323,1.1437997817993164,1.1864816973371655
respiratory,matched_gaussian_ensemble,9.0,36.0,1.357982516288757,1.154191493988037,1.1765660406979503
respiratory,matched_gaussian_ensemble,10.0,40.0,1.3536807298660278,1.15397310256958,1.1730609031109598
respiratory,persistence_locf,1.0,4.0,0.9526532292366028,0.9526532292366028,1.0
respiratory,persistence_locf,2.0,8.0,1.0086735486984253,1.0086735486984253,1.0
respiratory,persistence_locf,3.0,12.0,1.061729073524475,1.061729073524475,1.0
respiratory,persistence_locf,4.0,16.0,1.0732355117797852,1.0732355117797852,1.0
respiratory,persistence_locf,5.0,20.0,1.0946810245513916,1.0946810245513916,1.0
respiratory,persistence_locf,6.0,24.0,1.10100257396698,1.10100257396698,1.0
respiratory,persistence_locf,7.0,28.0,1.141489028930664,1.141489028930664,1.0
respiratory,persistence_locf,8.0,32.0,1.1437997817993164,1.1437997817993164,1.0
respiratory,persistence_locf,9.0,36.0,1.154191493988037,1.154191493988037,1.0
respiratory,persistence_locf,10.0,40.0,1.15397310256958,1.15397310256958,1.0
respiratory,single_gaussian_grud,1.0,4.0,0.7550042072931925,0.9526532292366028,0.7925278413197697
respiratory,single_gaussian_grud,2.0,8.0,1.0187214811642964,1.0086735486984253,1.0099615306447134
respiratory,single_gaussian_grud,3.0,12.0,1.3081480662027996,1.061729073524475,1.2320921587466014
respiratory,single_gaussian_grud,4.0,16.0,1.4501784642537434,1.0732355117797852,1.3512210957768813
respiratory,single_gaussian_grud,5.0,20.0,1.5280672709147136,1.0946810245513916,1.3959018532735843
respiratory,single_gaussian_grud,6.0,24.0,1.5564035574595134,1.10100257396698,1.4136239044852508
respiratory,single_gaussian_grud,7.0,28.0,1.5893272558848064,1.141489028930664,1.3923281044353732
respiratory,single_gaussian_grud,8.0,32.0,1.5795871019363403,1.1437997817993164,1.380999653148635
respiratory,single_gaussian_grud,9.0,36.0,1.5850300391515095,1.154191493988037,1.3732816845450933
respiratory,single_gaussian_grud,10.0,40.0,1.583828330039978,1.15397310256958,1.3725002138379385
sepsis,categorical_rssm,1.0,4.0,0.9041323065757751,0.9596635103225708,0.9421347137309305
sepsis,categorical_rssm,2.0,8.0,0.8525352080663046,0.927671492099762,0.919005504994674
sepsis,categorical_rssm,3.0,12.0,0.9197768568992615,0.9942415952682496,0.9251039800352576
