task,method_group,method,mean_paired_behavior_relative_return,mean_paired_standard_error,display_method,within_task_rank_percentile,evidence_role
shock,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,0.030278409316362068,0.002688473757162133,GRU-D + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,Gaussian ensemble + H1 exhaustive (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,0.015260125865437365,0.0028443374286341665,Gaussian ensemble + H1 exhaustive (support + uncertainty),0.7058823529411765,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,0.04038993978445884,0.0029363886057764336,Gaussian ensemble + H1 exhaustive (support + uncertainty),0.9705882352941176,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,0.038361466394141334,0.0029026708131272,Gaussian ensemble + H1 exhaustive (support + uncertainty),0.8235294117647058,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,0.12938234306610263,0.010757885997829867,Gaussian ensemble + H1 exhaustive (support),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,0.015260125865437365,0.0028443374286341665,Gaussian ensemble + H1 exhaustive (support),0.7058823529411765,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,0.03927130998659376,0.0029100496671584665,Gaussian ensemble + H1 exhaustive (support),0.8970588235294118,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,0.038361466394141334,0.0029026708131272,Gaussian ensemble + H1 exhaustive (support),0.8235294117647058,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,Gaussian ensemble + H4 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,0.014406872456726132,0.0028214057598453003,Gaussian ensemble + H4 CEM (support + uncertainty),0.4117647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,0.0367038835896857,0.0029127817003662664,Gaussian ensemble + H4 CEM (support + uncertainty),0.7352941176470589,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,0.03273572461158777,0.0027677743074935,Gaussian ensemble + H4 CEM (support + uncertainty),0.7058823529411765,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,0.12715028015660876,0.010858315426307533,Gaussian ensemble + H4 CEM (support),0.39705882352941174,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,0.014669293896846666,0.0028232999615121334,Gaussian ensemble + H4 CEM (support),0.5,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,0.03661780510513266,0.0029013138354303998,Gaussian ensemble + H4 CEM (support),0.6617647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,0.032408610897212,0.0027563352209862995,Gaussian ensemble + H4 CEM (support),0.6029411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,Gaussian ensemble + H8 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,0.015215349738100735,0.0028479503103921336,Gaussian ensemble + H8 CEM (support + uncertainty),0.6176470588235294,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,0.034078193580134065,0.0027836599116308,Gaussian ensemble + H8 CEM (support + uncertainty),0.3235294117647059,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,0.029753004484660867,0.002673524844329133,Gaussian ensemble + H8 CEM (support + uncertainty),0.3235294117647059,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
