task,tier,regime,estimator,denominator,clipping,support_contract,horizon,coverage_rate,spearman_rank_recovery,pairwise_order_recovery,behavior_relative_sign_recovery,false_improvement_rate,median_ess,maximum_weight_concentration,maximum_unsupported_action_mass,maximum_paired_true_return_se,coverage_gate,rank_gate,pairwise_gate,sign_gate,false_improvement_gate,ess_gate,support_gate,precision_gate,finite_gate,approved_exact_tuple
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,20.0,masked,3,0.7692307692307693,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,321.1704552013839,0.0079733925133478,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,20.0,unrestricted_stress,1,1.0,,,,,678.8264584438888,0.0015007695695,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,20.0,unrestricted_stress,2,1.0,,,,,429.40894746740383,0.0024363350677826,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,20.0,unrestricted_stress,3,0.0,,,,,270.0274053439934,0.0040063560129794,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,none,masked,1,0.8461538461538461,0.9942857142857142,0.9855072463768116,1.0,0.0,678.8264584438888,0.0029727436037869,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,none,masked,2,0.9230769230769232,1.0,1.0,1.0,0.0,446.178957057075,0.0046022235188148,0.0,0.0151291898692132,True,True,True,True,True,True,True,True,True,True
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,none,masked,3,0.7692307692307693,0.9943820224719102,0.9861111111111112,0.9230769230769231,0.0,321.1704552013839,0.0079733925133478,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,none,unrestricted_stress,1,1.0,,,,,678.8264584438888,0.0015007695695,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,none,unrestricted_stress,2,1.0,,,,,429.40894746740383,0.0024363350677826,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,DR,paper_lstm_h16,none,unrestricted_stress,3,0.0,,,,,270.0274053439934,0.0040063560129794,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,20.0,masked,1,0.5384615384615384,0.9942857142857142,0.9855072463768116,1.0,0.0,677.1767864516876,0.0035980236760165,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,FQE,crossfit_stronger,20.0,masked,2,0.2307692307692307,1.0,1.0,1.0,0.0,441.145714436415,0.0057549522018564,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
