task,response_regime,method,method_group,seed,true_return,behavior_true_return,paired_behavior_relative_return_difference,paired_crn_difference,paired_standard_error,learned_model_predicted_return,model_exploitation_gap,unsupported_action_mass,normalized_entropy,behavior_divergence_kl,top_argmax_action_share,single_action_collapse,policy_probability_complete,rank_within_task_regime_seed,paired_difference_definition
aki_rrt,weak,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.233762900576287,0.0891733521652559,0.144589548411031,0.125359306640625,0.0133671646101727,0.25906323258439734,0.02530033200811027,0.0,0.8708644692353646,0.0022232758273795,0.7083333333333334,False,True,21.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,behavior_cloning,model_free,3408,0.1577766839184455,0.144097507924206,0.0136791759942395,0.011114373046875,0.0116669657148351,,,0.0,0.8501065203928403,0.0005092485345763,1.0,True,True,30.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,discrete_bcq,model_free,3408,0.3278257169258,0.144097507924206,0.1837282090015939,0.1685218437499999,0.0097924187547637,,,0.0,-0.0,0.3038178927852867,1.0,True,True,2.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,discrete_cql,model_free,3408,0.3278257169258,0.144097507924206,0.1837282090015939,0.1685218437499999,0.0097924187547637,,,0.0,-0.0,0.3038178927852867,1.0,True,True,2.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,soft_spibb,model_free,3408,0.2298656836872084,0.144097507924206,0.0857681757630024,0.0780989921875,0.011412088969218,,,0.0,0.5791321654270399,0.0453642117308315,1.0,True,True,29.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,decision_transformer_adapter,model_free,3408,0.2349863413070323,0.144097507924206,0.0908888333828263,0.0837023527343749,0.0112766304650416,,,0.0,0.4211485679446092,0.1004053290019118,1.0,True,True,28.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,empirical_behavior,control,3408,0.144097507924206,0.144097507924206,0.0,-0.0075700281249999,0.0115361469893499,,,0.0,0.8297565267397857,0.0,1.0,True,True,31.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,random_supported,control,3408,0.0804675157313249,0.144097507924206,-0.063629992192881,-0.0735104507812499,0.0101585981941755,,,0.0,1.0,0.1284580857266309,1.0,True,True,32.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,minimum_supported_action,control,3408,0.3278257169258,0.144097507924206,0.1837282090015939,0.1685218437499999,0.0097924187547637,,,0.0,-0.0,0.3038178927852867,1.0,True,True,2.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,maximum_supported_action,control,3408,0.04576,0.144097507924206,-0.098337507924206,-0.1128887871093749,0.0093857877613891,,,0.0,-0.0,1.339392639787866,1.0,True,True,34.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,severity_rule,control,3408,0.0767792126542866,0.144097507924206,-0.0673182952699193,-0.0785387914062499,0.0103324874188817,,,0.0,0.954434002924965,0.0305951847532718,0.625,False,True,33.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,grud_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.2706955281424021,0.144097507924206,0.1265980202181961,0.111641527734375,0.0113390336758432,0.25906323258439734,-0.011632295558004768,0.0,0.9182958340544894,0.0124953068246668,0.6666666666666666,False,True,25.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,grud_world_model__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.2719239062200619,0.144097507924206,0.1278263982958559,0.1128857921875,0.011249666905594,0.25906323258439734,-0.012860673635664566,0.0,0.8708644692353646,0.0022232758273795,0.7083333333333334,False,True,21.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,transformer_world_model__H1_exhaustive__support_constrained,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,transformer_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.2706955281424021,0.144097507924206,0.1265980202181961,0.111641527734375,0.0113390336758432,0.25906323258439734,-0.011632295558004768,0.0,0.9182958340544894,0.0124953068246668,0.6666666666666666,False,True,25.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,moderate,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.2731658524877947,0.144097507924206,0.1290683445635886,0.11416389765625,0.0111475121341017,0.25906323258439734,-0.01410261990339734,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
