task,response_regime,reward_variant,method,method_group,seed,true_return,exact_behavior_policy_value,paired_behavior_relative_return_difference,paired_standard_error,unsupported_action_mass,policy_probability_complete,rank_within_task_regime_reward_seed,paired_difference_definition
shock,delayed,terminal_only,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3411,0.3446029710527155,0.3565141356617738,0.0160579203659233,0.0017642130582747,0.0,True,21.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,behavior_cloning,model_free,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,discrete_bcq,model_free,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,discrete_cql,model_free,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,soft_spibb,model_free,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,decision_transformer_adapter,model_free,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,empirical_behavior,control,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,random_supported,control,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,minimum_supported_action,control,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,maximum_supported_action,control,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,severity_rule,control,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,grud_world_model__H4_categorical_CEM__support_constrained,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
shock,null,primary_dense_plus_terminal,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3414,0.3706684811884314,0.3634310881968847,0.0,0.0,0.0,True,17.5,policy return minus independently action-seeded behavior return under common initial states and exogenous noise
